id,release_date,title,production_budget,domestic_gross,worldwide_gross,release_year,release_month_x,Profit,ROI,Domestic_vs_Worldwide_Ratio,Release_Month,Day_of_Week
97,2014-02-21,Pompeii,80000000,23169033,108469033,2014,2,28469033,0.3558629125,0.21360043838502737,2,Friday
98,2000-05-12,Battlefield Earth: A Saga of the Year 3000,80000000,21471685,29725663,2000,5,-50274337,-0.6284292125,0.7223282118215496,5,Friday
99,2003-11-14,Looney Tunes: Back in Action,80000000,20950820,54540662,2003,11,-25459338,-0.318241725,0.3841321177949765,11,Friday
100,2009-12-18,Nine,80000000,19676965,53508858,2009,12,-26491142,-0.331139275,0.3677328527549588,12,Friday
1,2003-11-26,Timeline,80000000,19480739,26703184,2003,11,-53296816,-0.6662102,0.7295286959038293,11,Wednesday
2,2010-04-22,Oceans,80000000,19422319,86787530,2010,4,6787530,0.084844125,0.22379158618755482,4,Thursday
3,1998-11-25,Babe: Pig in the City,80000000,18319860,69131860,1998,11,-10868140,-0.13585175,0.2649988008423323,11,Wednesday
4,1997-12-25,The Postman,80000000,17650704,20841123,1997,12,-59158877,-0.7394859625,0.8469171262988083,12,Thursday
5,2000-11-10,Red Planet,80000000,17480890,33463969,2000,11,-46536031,-0.5817003875,0.5223794583362182,11,Friday
6,2007-01-12,Arthur et les Minimoys,80000000,15132763,113325743,2007,1,33325743,0.4165717875,0.13353332260967396,1,Friday
7,2007-08-17,The Invasion,80000000,15074191,40147042,2007,8,-39852958,-0.498161975,0.37547451192045483,8,Friday
8,2005-09-02,A Sound of Thunder,80000000,1900451,6300451,2005,9,-73699549,-0.9212443625,0.30163729548884677,9,Friday
11,2011-11-11,Jack and Jill,79000000,74158157,150519217,2011,11,71519217,0.9053065443037974,0.4926823197598749,11,Friday
14,2002-10-04,Red Dragon,78000000,92955420,206455420,2002,10,128455420,1.646864358974359,0.4502445128347805,10,Friday
15,2004-03-05,Hidalgo,78000000,67286731,108086731,2004,3,30086731,0.3857273205128205,0.6225253588250347,3,Friday
16,2003-07-11,The League of Extraordinary Gentlemen,78000000,66465204,179265204,2003,7,101265204,1.298271846153846,0.37076466886457227,7,Friday
17,2004-08-20,Exorcist: The Beginning,78000000,41814863,43957541,2004,8,-34042459,-0.43644178205128203,0.9512557356199702,8,Friday
18,2012-12-31,AstÃ©rix et ObÃ©lix: Au service de Sa MajestÃ©,77600000,0,60680125,2012,12,-16919875,-0.2180396262886598,0.0,12,Monday
19,2016-02-12,The Little Prince,77500000,1311213,102028919,2016,2,24528919,0.3165021806451613,0.012851385791904745,2,Friday
20,2019-01-22,Renegades,77500000,0,1521672,2019,1,-75978328,-0.9803655225806451,0.0,1,Tuesday
21,2018-07-20,The Equalizer 2,77000000,102084362,190453132,2018,7,113453132,1.4734172987012988,0.5360077879947913,7,Friday
23,2003-06-06,2 Fast 2 Furious,76000000,127120058,236410607,2003,6,160410607,2.110665881578947,0.5377087754780817,6,Friday
24,2006-12-25,Children of Men,76000000,35552383,69845011,2006,12,-6154989,-0.08098669736842105,0.5090182174930147,12,Monday
25,2000-06-30,The Adventures of Rocky & Bullwinkle,76000000,26000610,35129610,2000,6,-40870390,-0.5377682894736842,0.7401337504173829,6,Friday
39,2004-02-13,50 First Dates,75000000,120776832,196320329,2004,2,121320329,1.6176043866666667,0.6152028810016918,2,Friday
40,2007-07-20,Hairspray,75000000,118871849,203035572,2007,7,128035572,1.70714096,0.5854730175065087,7,Friday
42,2006-12-15,Dreamgirls,75000000,103365956,155708695,2006,12,80708695,1.0761159333333334,0.6638419004153878,12,Friday
43,2018-08-03,Christopher Robin,75000000,99215042,197504758,2018,8,122504758,1.6333967733333334,0.5023425410338722,8,Friday
44,1999-07-23,Inspector Gadget,75000000,97387965,97387965,1999,7,22387965,0.2985062,1.0,7,Friday
45,2011-11-11,Immortals,75000000,83504017,211562435,2011,11,136562435,1.8208324666666666,0.3947015310161277,11,Friday
46,2004-06-18,The Terminal,75000000,77073959,218673959,2004,6,143673959,1.9156527866666666,0.35246061923633076,6,Friday
47,2005-02-18,Constantine,75000000,75976178,221594911,2005,2,146594911,1.9545988133333334,0.34286066253570235,2,Friday
48,2006-07-21,Monster House,75000000,73661010,141267370,2006,7,66267370,0.8835649333333333,0.5214297540897095,7,Friday
49,2000-12-08,Vertical Limit,75000000,68473360,213500000,2000,12,138500000,1.8466666666666667,0.32071831381733024,12,Friday
50,2007-12-21,Charlie Wilson's War,75000000,66661095,119512771,2007,12,44512771,0.5935036133333333,0.5577738215106736,12,Friday
51,1999-04-16,Life,75000000,64062587,73521587,1999,4,-1478413,-0.019712173333333333,0.8713439088304772,4,Friday
52,2005-03-04,Be Cool,75000000,55849401,94944017,2005,3,19944017,0.26592022666666665,0.5882350754129141,3,Friday
53,2005-12-23,Munich,75000000,47379090,131492772,2005,12,56492772,0.75323696,0.3603170674658832,12,Friday
54,2010-06-04,Killers,75000000,47059963,95572749,2010,6,20572749,0.27430332,0.49239938677498957,6,Friday
55,2015-08-14,The Man From U.N.C.L.E.,75000000,45445109,104949584,2015,8,29949584,0.3993277866666667,0.4330184767573733,8,Friday
56,2003-03-07,Tears of the Sun,75000000,43632458,85632458,2003,3,10632458,0.14176610666666667,0.5095317712356219,3,Friday
57,2006-07-21,Lady in the Water,75000000,42285169,72785169,2006,7,-2214831,-0.02953108,0.580958587868361,7,Friday
58,2004-12-17,Spanglish,75000000,42044321,54344321,2004,12,-20655679,-0.2754090533333333,0.7736654028670263,12,Friday
59,2001-10-12,Bandits,75000000,41523271,71523271,2001,10,-3476729,-0.046356386666666666,0.58055609621098,10,Friday
60,1999-12-17,Anna and the King,75000000,39251128,39251128,1999,12,-35748872,-0.47665162666666666,1.0,12,Friday
61,1995-07-07,First Knight,75000000,37361412,127361412,1995,7,52361412,0.69815216,0.2933495429526174,7,Friday
62,2011-03-25,Sucker Punch,75000000,36392502,89758389,2011,3,14758389,0.19677852,0.40544958978708945,3,Friday
63,2005-03-11,Hostage,75000000,34636443,77636443,2005,3,2636443,0.03515257333333333,0.4461363975678278,3,Friday
64,2016-10-28,Inferno,75000000,34343574,219519367,2016,10,144519367,1.9269248933333334,0.15644894785069238,10,Friday
64,2016-10-28,Inferno,75000000,34343574,219519367,2016,10,144519367,1.9269248933333334,0.15644894785069238,10,Friday
65,2003-06-13,Hollywood Homicide,75000000,30207785,50409753,2003,6,-24590247,-0.32786996,0.5992448524792414,6,Friday
66,2000-06-16,Titan A.E.,75000000,22751979,36751979,2000,6,-38248021,-0.5099736133333334,0.6190681323582602,6,Friday
67,2004-12-17,Flight of the Phoenix,75000000,21009180,34009180,2004,12,-40990820,-0.5465442666666667,0.6177502662516414,12,Friday
68,1998-10-23,Soldier,75000000,14623082,14623082,1998,10,-60376918,-0.8050255733333334,1.0,10,Friday
69,1999-01-15,Virus,75000000,14010690,30626690,1999,1,-44373310,-0.5916441333333333,0.4574666736758037,1,Friday
70,2001-02-23,Monkeybone,75000000,5409517,5409517,2001,2,-69590483,-0.9278731066666667,1.0,2,Friday
71,2019-08-30,PLAYMOBIL,75000000,0,0,2019,8,-75000000,-1.0,,8,Friday
72,2019-12-31,355,75000000,0,0,2019,12,-75000000,-1.0,,12,Tuesday
78,1998-08-07,Snake Eyes,73000000,55591409,103891409,1998,8,30891409,0.42316998630136987,0.535091491539979,8,Friday
79,1998-02-13,Sphere,73000000,37068294,50168294,1998,2,-22831706,-0.31276309589041096,0.7388789022803924,2,Friday
81,2008-02-08,Fool's Gold,72500000,70231041,109362966,2008,2,36862966,0.5084547034482758,0.6421830311368841,2,Friday
82,2009-07-31,Funny People,72500000,51855045,71880305,2009,7,-619695,-0.00854751724137931,0.7214082494502493,7,Friday
83,2007-09-28,The Kingdom,72500000,47467250,86509602,2007,9,14009602,0.1932358896551724,0.5486934271180672,9,Friday
84,2001-06-22,Dr. Dolittle 2,72000000,112950721,176101721,2001,6,104101721,1.445857236111111,0.6413947595662622,6,Friday
85,1995-05-24,Braveheart,72000000,75545647,209045244,1995,5,137045244,1.9034061666666666,0.3613841939403319,5,Wednesday
86,2005-11-04,Jarhead,72000000,62647540,96947540,2005,11,24947540,0.3464936111111111,0.646200409004705,11,Friday
87,2001-04-27,Driven,72000000,32616869,54616869,2001,4,-17383131,-0.241432375,0.5971940464035022,4,Friday
88,2001-12-21,The Majestic,72000000,27796042,37306334,2001,12,-34693666,-0.4818564722222222,0.7450756753531451,12,Friday
89,2004-06-25,Two Brothers,72000000,19176754,62176754,2004,6,-9823246,-0.13643397222222223,0.3084232090983714,6,Friday
3,1990-07-03,Die Hard 2,70000000,117323878,239814025,1990,7,169814025,2.4259146428571428,0.4892285928648252,7,Tuesday
4,2003-08-08,S.W.A.T.,70000000,116877597,207154748,2003,8,137154748,1.959353542857143,0.5642042875116722,8,Friday
5,2017-11-10,Daddyâs Home 2,70000000,104029443,175807183,2017,11,105807183,1.5115311857142857,0.5917246452893793,11,Friday
6,1999-11-19,Sleepy Hollow,70000000,101068340,207068340,1999,11,137068340,1.958119142857143,0.48809170923956796,11,Friday
7,2001-12-14,Vanilla Sky,70000000,100614858,202726605,2001,12,132726605,1.8960943571428572,0.49630810914038637,12,Friday
9,2013-03-22,Olympus Has Fallen,70000000,98927592,172878928,2013,3,102878928,1.4696989714285715,0.572236264676514,3,Friday
10,2011-03-11,Battle: Los Angeles,70000000,83552429,213463976,2011,3,143463976,2.0494853714285712,0.3914123149284917,3,Friday
11,2004-08-13,AVP: Alien Vs. Predator,70000000,80281096,172543519,2004,8,102543519,1.4649074142857144,0.46528027517509946,8,Friday
12,2011-12-25,War Horse,70000000,79883359,156815529,2011,12,86815529,1.2402218428571428,0.5094097472961368,12,Sunday
13,2002-03-01,We Were Soldiers,70000000,78120196,114658262,2002,3,44658262,0.6379751714285714,0.681330718234679,3,Friday
14,2014-02-07,The Monuments Men,70000000,78031620,158702748,2014,2,88702748,1.2671821142857143,0.49168411374956156,2,Friday
15,2016-09-23,Storks,70000000,72679278,183353431,2016,9,113353431,1.6193347285714286,0.3963889718540364,9,Friday
16,1998-12-11,Star Trek: Insurrection,70000000,70187658,117800000,1998,12,47800000,0.6828571428571428,0.5958205263157895,12,Friday
17,2003-12-10,Big Fish,70000000,66432867,123954323,2003,12,53954323,0.7707760428571429,0.5359463501728778,12,Wednesday
18,1994-06-17,Wolf,70000000,65011757,131011757,1994,6,61011757,0.8715965285714286,0.4962284186449007,6,Friday
19,2012-01-20,Underworld: Awakening,70000000,62321039,160379930,2012,1,90379930,1.2911418571428572,0.3885837772843522,1,Friday
20,2017-09-22,The Lego Ninjago Movie,70000000,59281555,122737201,2017,9,52737201,0.7533885857142857,0.48299581966188065,9,Friday
21,2014-10-10,Dracula Untold,70000000,55991880,220241723,2014,10,150241723,2.1463103285714284,0.2542292134174777,10,Friday
22,2006-09-29,The Guardian,70000000,55011732,94973540,2006,9,24973540,0.35676485714285716,0.5792321945670341,9,Friday
23,1989-08-09,The Abyss,70000000,54243125,54243125,1989,8,-15756875,-0.22509821428571428,1.0,8,Wednesday
24,2010-09-24,Wall Street 2: Money Never Sleeps,70000000,52474616,137431619,2010,9,67431619,0.9633088428571429,0.381823457962756,9,Friday
25,2011-01-14,The Dilemma,70000000,48475290,70546865,2011,1,546865,0.007812357142857143,0.6871359910890441,1,Friday
26,2005-12-25,Rumor Has It,70000000,42996140,88933562,2005,12,18933562,0.27047945714285715,0.4834635994901452,12,Sunday
27,1998-11-06,The Siege,70000000,40934175,116625798,1998,11,46625798,0.6660828285714285,0.35098730900002073,11,Friday
28,2007-08-10,Stardust,70000000,38634938,137022245,2007,8,67022245,0.9574606428571428,0.28196106405934307,8,Friday
29,2012-06-15,Rock of Ages,70000000,38518613,61031932,2012,6,-8968068,-0.12811525714285715,0.6311222951290482,6,Friday
30,1997-10-08,Seven Years in Tibet,70000000,37945884,131445884,1997,10,61445884,0.8777983428571429,0.2886806558355224,10,Wednesday
31,2004-09-17,Sky Captain and the World of Tomorrow,70000000,37760080,49730854,2004,9,-20269146,-0.2895592285714286,0.7592887908178694,9,Friday
32,2007-09-14,The Brave One,70000000,36793804,69792704,2007,9,-207296,-0.0029613714285714287,0.5271869678526856,9,Friday
33,2002-11-01,I Spy,70000000,33561137,60279822,2002,11,-9720178,-0.13885968571428572,0.5567557415813206,11,Friday
34,2002-06-07,Bad Company,70000000,30157016,69157016,2002,6,-842984,-0.01204262857142857,0.43606589387835937,6,Friday
35,2005-10-21,Doom,70000000,28212337,58757178,2005,10,-11242822,-0.16061174285714286,0.48015132721316195,10,Friday
36,2016-01-29,The Finest Hours,70000000,27569558,49252761,2016,1,-20747239,-0.2963891285714286,0.559756599229026,1,Friday
37,2013-10-18,Escape Plan,70000000,25135965,103735965,2013,10,33735965,0.48194235714285716,0.2423071400550426,10,Friday
38,2011-09-23,Killer Elite,70000000,25124986,65409046,2011,9,-4590954,-0.06558505714285714,0.3841209669989683,9,Friday
39,1998-01-16,Hard Rain,70000000,19870567,19870567,1998,1,-50129433,-0.7161347571428571,1.0,1,Friday
40,2002-02-15,Hart's War,70000000,19076815,33076815,2002,2,-36923185,-0.5274740714285714,0.5767428030782287,2,Friday
